description,title,sentiment,sentiment_reasoning,Date,Ticker,Close,High,Low,Open,Volume,daily_diff
"Arch Capital Group Ltd. reported strong third-quarter 2023 results, with operating income beating estimates by 50% and premiums and investment income increasing significantly. The company's Insurance, Reinsurance, and Mortgage segments all performed well, with improved underwriting results.",Arch Capital (ACGL) Q3 Earnings Top on Solid Underwriting,positive,"Tesla's stock has rebounded 99% year-to-date after a tumultuous 2022. The company is seeing growth in its vehicle deliveries and other business segments, and its stock valuation remains relatively low compared to its historic highs.",2023-10-31,TSLA,200.83999633789062,202.8000030517578,194.07000732421875,196.1199951171875,118068300,4.720001220703125
"Cisco Systems (CSCO) has been a trending stock on Zacks.com, with its shares returning 5% over the past month. The article analyzes the company's earnings estimates, revenue growth forecast, and valuation, concluding that Cisco is currently rated as a Zacks Rank #3 (Hold), suggesting it may perform in line with the broader market in the near term.","Here is What to Know Beyond Why Cisco Systems, Inc. (CSCO) is a Trending Stock",positive,"The article expects Tesla's Investor Day event to be a positive catalyst for the stock, as the company is likely to provide details on its long-term growth strategy, expansion plans, and upcoming products like the Cybertruck.",2023-06-22,TSLA,264.6099853515625,265.0,248.25,250.77000427246094,166875900,13.839981079101562
"The trucking industry is benefiting from improving freight demand, declining fuel expenses, and shareholder-friendly initiatives. However, challenges like driver shortages and supply chain issues persist.","The Zacks Analyst Blog Highlights Knight-Swift Transportation, Old Dominion Freight Line, J.B. Hunt Transport Services, Werner Enterprises and Landstar System",positive,"Tesla is the largest producer of electric vehicles, with a strong focus on self-driving technology and AI. The company's ability to remain profitable, expand its product portfolio, and invest in infrastructure like charging stations and the Dojo supercomputer give it a competitive advantage and growth potential.",2023-11-22,TSLA,234.2100067138672,244.00999450683594,231.39999389648438,242.0399932861328,117950600,-7.829986572265625
"The article discusses the latest research reports on Alphabet, Comcast, NextEra Energy, Vertex Pharmaceuticals, and Eni. It highlights the key factors driving the performance of these companies and the analysts' views on their future prospects.","The Zacks Analyst Blog Highlights Alphabet, Comcast, NextEra, Vertex and Eni",positive,"Microsoft is included in the 'Magnificent 7' tech stocks, indicating its strong performance and position in the industry.",2023-12-22,MSFT,370.3757629394531,370.96903467399375,368.52675633726045,369.48587042516914,17091100,0.8898925142839857
"Pegasystems (PEGA) has formed a hammer chart pattern, indicating a potential trend reversal. Strong agreement among Wall Street analysts in raising earnings estimates for this business software company also enhances its prospects of a turnaround.","Pegasystems (PEGA) Could Find a Support Soon, Here's Why You Should Buy the Stock Now",positive,"Apple is praised for its effective stock repurchase program, which has reduced its outstanding shares and enhanced shareholder value.",2023-02-24,AAPL,145.0550079345703,145.5295889507278,144.07617044500316,145.45048960025846,55469600,-0.3954816656881519
"Analysts have an average price target of $209.86 for Jazz Pharmaceuticals (NASDAQ:JAZZ), implying upside potential. The current average price target has increased by 3.51% from the previous average.",Where Jazz Pharmaceuticals Stands With Analysts,positive,"Apple's services segment is proving to be resilient despite the uncertain economy, with revenue growth of 8% in the latest quarter. While its product segments faced challenges, Apple's performance is still stronger than the overall smartphone market.",2023-07-11,AAPL,186.21556091308594,187.4234682366511,184.75023641356677,187.28485666382537,46638100,-1.0692957507394283
"CNBC's 'Final Trades' segment discussed Alibaba's expansion of AI capabilities, Stryker's strong quarterly results, and Wynn Resorts' upcoming earnings release.","Stryker, Wynn Resorts And A Chinese Tech Giant Expanding AI Capabilities: CNBC's 'Final Trades'",neutral,"The article mentions that Apple is a chip partner of Qualcomm, but does not provide a clear sentiment on Apple.",2023-08-07,AAPL,177.07708740234375,181.3146590660809,175.59195672278545,180.32457194637539,97576100,-3.247484544031636
"AECOM reported decent fourth-quarter fiscal 2023 results, with earnings meeting the Zacks Consensus Estimate and revenues topping the same. The company's design business saw double-digit organic net service revenues growth, and it provided positive fiscal 2024 guidance.","AECOM (ACM) Q4 Earnings Meet, Revenues Beat, NSR Rises Y/Y",neutral,"Buffett and Munger may not be comfortable investing in Tesla due to its high valuation, preferring companies with lower risk and more certainty.",2023-11-14,TSLA,237.41000366210938,238.13999938964844,230.72000122070312,235.02999877929688,149771600,2.3800048828125
"Orange is holding its annual general meeting on May 23, 2023. The company has made available information related to the meeting on its website and through other channels.",Orange: Assemblée générale du 23 mai 2023 - Modalités de mise à disposition ou de consultation des informations relatives à l'Assemblée générale mixte des actionnaires,positive,"Berkshire invested in Apple when it was trading at a lower valuation, indicating they see value in the company.",2023-04-21,AAPL,163.1584930419922,164.57235465877127,162.63447292379246,163.1881534195007,58337300,-0.02966037750852024
"Analyst downgrades SiTime due to lack of visibility in oscillators consumption and lower customer demand, leading to reduced revenue and earnings estimates for 2023 and 2024.",SiTime Downgraded: Lack Of Visibility Of Oscillators Consumption And Customer Demand Prompt Analyst,neutral,"The article does not provide a specific sentiment for Microsoft, but it is mentioned as one of the stocks driving the narrow market rally.",2023-05-04,MSFT,300.0777282714844,302.3867046786464,298.1028120701816,300.8932237762644,22519900,-0.8154955047800172
"Paramount Global is balancing its traditional broadcast and theater businesses with building a direct-to-consumer streaming service, Paramount+. While this has crushed its profits, the company has shown signs of progress, and the stock could have significant upside potential if it can effectively monetize its streaming business.",Buying This Overlooked Streaming Stock With 100% Upside Could Be a Genius Move,neutral,"The article does not provide a specific sentiment for Apple, but it is mentioned as one of the stocks driving the narrow market rally.",2023-06-02,AAPL,179.15623474121094,179.97800874169684,177.48298533965166,179.2354435119536,61945900,-0.07920877074266741
The article discusses four companies that could provide significant upside for long-term investors during the uncertain times of the second half of 2023. The companies are chosen from different industries to provide a diverse portfolio.,4 Top Stocks to Buy in the Second Half of 2023,positive,"The article mentions that Parkev Tatevosian, who is an affiliate of The Motley Fool, has positions in Apple, indicating a positive sentiment towards the company.",2023-07-06,AAPL,189.90855407714844,190.1164789605468,187.3244268243397,187.9580817966842,45094300,1.9504722804642256
"The article discusses the Invesco Dynamic Biotechnology & Genome ETF (PBE), a smart beta exchange-traded fund that provides exposure to the healthcare sector. It analyzes the fund's performance, risk, and alternatives, and provides insights on the top holdings.",Is Invesco Dynamic Biotechnology & Genome ETF (PBE) a Strong ETF Right Now?,positive,"The Motley Fool is said to have positions in and recommend Microsoft, suggesting a positive sentiment towards the company.",2023-06-07,MSFT,318.4285583496094,329.36843269361947,317.5620276985379,326.57192107899317,40717100,-8.143362729383796
"The article highlights three artificial intelligence stocks that investors can consider adding to their portfolios, including Amazon, Pinterest, and IBM.",3 Unstoppable Artificial Intelligence (AI) Stocks to Buy Now in September,positive,"The article highlights Tesla's advancements in autonomous driving and AI, which could lead to significant revenue opportunities, such as a robo-taxi fleet. The author believes Tesla is more than just a car business and has long-term potential.",2023-09-07,TSLA,251.49000549316406,252.80999755859375,243.27000427246094,245.07000732421875,115312900,6.4199981689453125
"Palantir reported strong Q3 results, including GAAP profit and 33% growth in the U.S. commercial sector. The company raised its full-year guidance for revenue and adjusted operating income, indicating a positive outlook.",Why Palantir Technologies Stock Soared Today,positive,"Berkshire Hathaway's top holding is now Apple, indicating the company's confidence in the tech giant's long-term prospects.",2023-11-02,AAPL,176.04718017578125,176.2553707597914,173.95527477340474,174.01475779740764,77334800,2.03242237837361
"Altice USA, Inc. (ATUS) has a history of beating earnings estimates and is expected to continue the trend in its next quarterly report. The company's Earnings ESP, a metric that predicts earnings surprises, is positive, suggesting a potential earnings beat.","Why Altice USA, Inc. (ATUS) Could Beat Earnings Estimates Again",positive,"Apple's online sales have been growing, and its installed base of devices continues to hit new highs, fueling profitable sales of apps and subscriptions. The company is also well-positioned to resume growth with the upcoming iPhone 15 launch.",2023-10-20,AAPL,171.3973846435547,173.91559492791032,171.15943743932888,173.80653768363138,64189300,-2.4091530400766885
"ProMIS Neurosciences presented preclinical data on its lead Alzheimer's disease candidate PMN310, which showed selective binding and protection against toxic amyloid-beta oligomers. The company also presented data supporting misfolded RACK1 as a potential target for ALS and FTLD-TDP.",ProMIS Neurosciences Presents Preclinical Data Highlighting Targeting of Toxic Misfolded Proteins in Alzheimer’s Disease and ALS at American Academy of Neurology Annual Meeting,positive,"Microsoft is described as a legend of Wall Street, with a long record of boosting shareholder value through share buybacks and dividends. It has a 20-year streak of dividend hikes and is seen as an excellent choice for those who want to 'set it and forget it' rather than constantly monitor their investments.",2023-04-24,MSFT,276.85040283203125,279.9749041502111,273.8536665505275,277.1648229621852,26611000,-0.3144201301539624
"U.S. Bancorp is a strong dividend play, with a dividend yield of 3.91% and a history of dividend growth. The company's earnings are expected to expand in 2023, and its payout ratio is at a healthy 44%. While high-yielding stocks can struggle during periods of rising interest rates, U.S. Bancorp's current Zacks Rank of 3 (Hold) makes it a compelling investment opportunity.",U.S. Bancorp (USB) is a Top Dividend Stock Right Now: Should You Buy?,neutral,"Tesla is mentioned as a better-established business that Airbnb's valuation is comparable to, suggesting the stock may be overvalued.",2023-01-26,TSLA,160.27000427246094,161.4199981689453,154.75999450683594,159.97000122070312,234815100,0.3000030517578125
"US Foods Holding Corp. has completed the acquisition of Renzi Foodservice, a broadline distributor in central upstate New York. This strategic move strengthens US Foods' market presence and provides an opportunity for revenue growth in the region.",US Foods (USFD) Expands Reach With Renzi Foodservice Buyout,neutral,"Microsoft is mentioned as a better-established business that Airbnb's valuation is comparable to, suggesting the stock may be overvalued.",2023-07-10,MSFT,326.7491455078125,330.0971101793497,322.5740762190043,329.4767516660907,32791400,-2.7276061582782063
"Adeia Inc. will announce its Q2 2023 financial results on August 7, 2023, and host an earnings conference call on the same day.","Adeia to Release Second Quarter 2023 Financial Results on August 7, 2023",positive,"The article highlights Apple's efforts to expand its content portfolio on Apple TV+, which has been gaining recognition and increasing its market share in the streaming market.",2023-07-17,AAPL,192.06695556640625,192.3936860433753,189.90855835393603,189.99766254560217,50520200,2.069293020804082
"Hologic, a medical device maker, has seen its stock return 4.9% over the past month, outperforming the broader market. The company's earnings estimates have been revised upwards, leading to a Zacks Rank #1 (Strong Buy) rating. However, the company's revenue growth is expected to decline in the current fiscal year before rebounding in the next.","Hologic, Inc. (HOLX) Is a Trending Stock: Facts to Know Before Betting on It",neutral,"Microsoft's GitHub was mentioned as a competitor to GitLab, but the article did not provide any specific commentary on Microsoft.",2023-02-17,MSFT,253.55445861816406,255.54901510250755,251.53042711128404,254.86125458173325,30000100,-1.3067959635691864
"Osisko Development Corp. is seeking approval to reduce the exercise price of warrants issued in 2022 private placements, aiming to align with the interests of its shareholders as the company works towards becoming a mid-tier gold producer.",Osisko Development Announces Proposed Reduction in Exercise Price of Warrants Issued in 2022,positive,"Apple is the world's third-largest video game company, profiting significantly from the App Store, where mobile games account for a large portion of consumer spending. The company's services revenue, including the App Store, is growing faster than its smartphone business, and its upcoming VR/AR headset could open new gaming opportunities.",2023-03-14,AAPL,150.86866760253906,151.66952778576984,148.4067663113716,149.57344779147112,73695900,1.2952198110679376
